sent_monotonic,phase,rtt_ms,status
74.870721773,baseline,0.10036000000468448,pass
74.875960666,baseline,0.1022330000068905,pass
74.881201041,baseline,0.10912300000143205,pass
74.886452392,baseline,0.10781100000656352,pass
74.89170172,baseline,0.1120780000007926,pass
74.896955245,baseline,0.11361999999337513,pass
74.902219426,baseline,0.10154199999590219,pass
74.907471318,baseline,0.11104600000066966,pass
74.912730761,baseline,0.10633899999845653,pass
74.917980851,baseline,0.12819200000535602,pass
74.923256298,baseline,0.10617899999942892,pass
74.928505326,baseline,0.10478699999794117,pass
74.933745761,baseline,0.09194800000500436,pass
74.938970944,baseline,0.09270799999683277,pass
74.94419936,baseline,0.10334499999942182,pass
74.949437762,baseline,0.10415599999191727,pass
74.954678788,baseline,0.11078600000757888,pass
74.959927917,baseline,0.11440100000470466,pass
74.965178807,baseline,0.09529300000110652,pass
74.970411931,baseline,0.10710099999755585,pass
74.975660499,baseline,0.09881699999425564,pass
74.980906342,baseline,0.07983900000851918,pass
74.986134838,baseline,0.11337000000821718,pass
74.991394572,baseline,0.10283399998911591,pass
74.996639194,baseline,0.09713500000430031,pass
75.001884897,baseline,0.10287400000663638,pass
75.00715716,baseline,0.10113099999387032,pass
75.012396894,baseline,0.10950399999387628,pass
75.017641976,baseline,0.09624400000518563,pass
75.022872015,baseline,0.09909899999627214,pass
75.028106562,baseline,0.10626899999977013,pass
75.033348779,baseline,0.108262000011905,pass
75.03859324,baseline,0.09542300000475734,pass
75.043827476,baseline,0.10558799999671464,pass
75.049071957,baseline,0.10846300000366682,pass
75.054322948,baseline,0.10735999998701118,pass
75.059572216,baseline,0.10881299999709881,pass
75.064821514,baseline,0.11391099999968901,pass
75.070085194,baseline,0.11435199999709766,pass
75.075347732,baseline,0.1112869999957411,pass
75.080592624,baseline,0.07827700000007098,pass
75.085787251,baseline,0.0564439999948263,pass
75.090954677,baseline,0.07634400000711139,pass
75.096137015,baseline,0.05432100000746232,pass
75.101292733,baseline,0.05464200000915298,pass
75.106444175,baseline,0.04819200000838464,pass
75.111596778,baseline,0.049694999987082156,pass
75.116744254,baseline,0.04740100000333314,pass
75.121890699,baseline,0.048371999994856196,pass
75.127036351,baseline,0.05029599999772927,pass
75.132183537,baseline,0.04884300000185249,pass
75.137330282,baseline,0.09208800000237716,pass
75.142524037,baseline,0.08717000000046937,pass
75.147720856,baseline,0.0704759999905491,pass
75.15289997,baseline,0.05926899999053603,pass
75.158049609,baseline,0.062403999990578995,pass
75.163214,baseline,0.057155999996894025,pass
75.168381156,baseline,0.0520980000118243,pass
75.173537114,baseline,0.05321999999807758,pass
75.178699673,baseline,0.05496200000720819,pass
75.183850804,baseline,0.04743099999870992,pass
75.189059972,baseline,0.0593790000067429,pass
75.194255059,baseline,0.05731599999592163,pass
75.199447142,baseline,0.10600800000304389,pass
75.204689259,baseline,0.09994999999207721,pass
75.209901042,baseline,0.06791100000214101,pass
75.215072459,baseline,0.08017000000393182,pass
75.220258232,baseline,0.05684499998892534,pass
75.225413099,baseline,0.05681500000775941,pass
75.230612763,baseline,0.06455599999810602,pass
75.235822742,baseline,0.06984499999873606,pass
75.241053863,baseline,0.07073599999785074,pass
75.246272055,baseline,0.11813599999754842,pass
75.251540962,baseline,0.1007709999925055,pass
75.256789349,baseline,0.1076119999936509,pass
75.262060421,baseline,0.10989400000482874,pass
75.267306224,baseline,0.10071100000175193,pass
75.272538446,baseline,0.09377000000654334,pass
75.277766062,baseline,0.10832200000265857,pass
75.283022952,baseline,0.08140200000639197,pass
75.288238129,baseline,0.09497199999941586,pass
75.293472215,baseline,0.10743100000354389,pass
75.298728523,baseline,0.0950920000093447,pass
75.303964472,baseline,0.1027229999976953,pass
75.309208672,baseline,0.1126590000097849,pass
75.314464461,baseline,0.11219799999651059,pass
75.319723464,baseline,0.10545699998942837,pass
75.324972341,baseline,0.12637899999390356,pass
75.330246567,baseline,0.11023499999396336,pass
75.33550553,baseline,0.11011399999460991,pass
